artist,sale_year,sale_location,sale_price_adj,low_est_adj,high_est_adj,performance
Damien Hirst,2007,London,1600451.142286657,1006572.8360824145,1509859.8706340247,1.5900003307259107
Franz Ackermann,2007,London,724732.6392626675,452957.5912839656,503285.80153080414,1.6000010888267069
Damien Hirst,2007,London,11887633.738967502,6291084.23283271,8807518.172569957,1.8896001545978216
Anish Kapoor,2007,London,1318610.9454669098,1258216.3533582198,1761503.38790983,1.0480001646275021
Ed Ruscha,2007,London,1008586.3590589461,1006572.8360824145,1509859.8706340247,1.0020003748306465
Lucio Fontana,2007,London,1318610.9454669098,1258216.3533582198,1761503.38790983,1.0480001646275021
James Rosenquist,2007,London,422759.67871921754,377464.6594033046,503285.80153080414,1.119998040018674
David Hockney,2007,London,0.0,201314.07400816045,301971.72752264375,0.0
Sean Scully,2007,London,1064953.905214573,251642.284254999,377464.6594033046,4.232014934712218
Tom Wesselmann,2007,London,664338.0471539774,754929.3188066093,880751.693954915,0.8800003266469525
Lucio Fontana,2007,London,0.0,503285.80153080414,754929.3188066093,0.0
John Baldessari,2007,London,211379.22284920566,188732.3297016523,251642.284254999,1.1199947734029119
On Kawara,2007,London,422759.67871921754,251642.284254999,377464.6594033046,1.6800025478787126
Anselm Kiefer,2007,London,332168.40706658567,377464.6594033046,452957.5912839656,0.8799986933422504
Gilbert & George,2007,London,226478.7956419828,201314.07400816045,301971.72752264375,1.1250022967671514
Antony Gormley,2007,London,452957.5912839656,176149.35237433805,226478.7956419828,2.571440571042596
Jannis Kounellis,2007,London,0.0,301971.72752264375,452957.5912839656,0.0
Antoni Tàpies,2007,London,301971.72752264375,201314.07400816045,301971.72752264375,1.500003062356202
Juan Muñoz,2007,London,839481.2545504529,503285.80153080414,754929.3188066093,1.668001068141382
Thomas Struth,2007,London,483154.2708279075,201314.07400816045,301971.72752264375,2.400002449825353
Anselm Kiefer,2007,London,332168.40706658567,251642.284254999,377464.6594033046,1.320002351897213
Jörg Immendorff,2007,London,362366.31963133375,377464.6594033046,629108.1766791099,0.9600006532917854
Natalya Nesterova,2007,London,196280.88307723473,100656.42049367711,150985.86376132187,1.9500085746647857
Jörg Immendorff,2007,London,0.0,251642.284254999,377464.6594033046,0.0
Michael Raedecker,2007,London,120787.95119657378,125821.1421274995,176149.35237433805,0.9599972559824218
Wilhelm Sasnal,2007,London,247616.47132274212,125821.1421274995,176149.35237433805,1.968003684564734
Thomas Scheibitz,2007,London,150985.86376132187,125821.1421274995,176149.35237433805,1.20000391982074
Eberhard Havekost,2007,London,150985.86376132187,125821.1421274995,176149.35237433805,1.20000391982074
Grayson Perry,2007,London,126827.28710536215,62909.954553346644,75492.93188066094,2.0160130139285743
Dexter Dalwood,2007,London,144946.52785253347,150985.86376132187,201314.07400816045,0.9600006532536359
Robert Wilson,2007,London,21137.675680759326,25163.488613016172,37746.46594033047,0.8400137197759386
Matthias Weischer,2007,London,422759.67871921754,377464.6594033046,503285.80153080414,1.119998040018674
Dirk Skreber,2007,London,301971.72752264375,251642.284254999,377464.6594033046,1.200003919868427
Thoralf Knobloch,2007,London,45295.01931591283,25163.488613016172,37746.46594033047,1.8000293995198682
Olafur Eliasson,2007,London,120787.95119657378,100656.42049367711,150985.86376132187,1.2000024498403579
Vladimir Dubossarsky and Alexandre Vinogradov,2007,London,166084.20353329284,62909.954553346644,88074.67618716903,2.6400305752256705
Semyon Faibisovich,2007,London,196280.88307723473,100656.42049367711,150985.86376132187,1.9500085746647857
Matthias Weischer,2007,London,332168.40706658567,176149.35237433805,251642.284254999,1.8857202854872361
Dirk Skreber,2007,London,187221.87921405214,201314.07400816045,301971.72752264375,0.9299989587273613
Eberhard Havekost,2007,London,105689.61142460283,62909.954553346644,88074.67618716903,1.680014111569252
Michael Raedecker,2007,London,135886.29096854472,150985.86376132187,201314.07400816045,0.8999934667682105
Tilo Baumgärtel,2007,London,135886.29096854472,62909.954553346644,88074.67618716903,2.1600125435111415
Jörg Immendorff,2007,London,0.0,75492.93188066094,100656.42049367711,0.0
Daniel Richter,2007,London,54354.023179095406,50328.21024683856,75492.93188066094,1.0799911799309379
Kai Althoff,2007,London,0.0,201314.07400816045,301971.72752264375,0.0
Jonathan Meese,2007,London,0.0,45295.01931591283,55361.40117776427,0.0
Banksy,2007,London,0.0,75492.93188066094,100656.42049367711,0.0
Alexander Kosolapov,2007,London,0.0,50328.21024683856,75492.93188066094,0.0
Rineke Dijkstra,2007,London,0.0,25163.488613016172,37746.46594033047,0.0
T.V. Santhosh,2007,London,166084.20353329284,50328.21024683856,62909.954553346644,3.300022048980481
Shiro Kuramata,2007,London,144946.52785253347,100656.42049367711,125821.1421274995,1.440012739646731
Subodh Gupta,2007,London,362366.31963133375,150985.86376132187,201314.07400816045,2.4000016331340905
Anselm Reyle,2007,London,181182.54330526377,125821.1421274995,176149.35237433805,1.4400007838687745
Sam Taylor-Johnson,2007,London,48314.687270307026,37746.46594033047,50328.21024683856,1.2799790935099191
Wim Delvoye,2007,London,114748.6152877854,100656.42049367711,150985.86376132187,1.1400029398382339
Cecily Brown,2007,London,286873.38775067276,176149.35237433805,226478.7956419828,1.6285804282989775
Yinka Shonibare CBE RA,2007,London,144946.52785253347,125821.1421274995,176149.35237433805,1.1520045470111329
Fernando Campana and Humberto Campana,2007,London,51334.35522470122,37746.46594033047,50328.21024683856,1.3599777868542893
Karen Kilimnik,2007,London,181182.54330526377,150985.86376132187,176149.35237433805,1.1999967333344317
Maurizio Cattelan,2007,London,377464.6594033046,301971.72752264375,452957.5912839656,1.2499999999586051
Damien Hirst,2007,London,0.0,1006572.8360824145,1509859.8706340247,0.0
Richard Prince,2007,London,256675.4751859247,251642.284254999,377464.6594033046,1.020001371930106
Damien Hirst,2007,London,895850.033726886,452957.5912839656,629108.1766791099,1.9777790480731494
Cindy Sherman,2007,London,0.0,100656.42049367711,150985.86376132187,0.0
Marlene Dumas,2007,London,90591.27165263188,75492.93188066094,100656.42049367711,1.1999967332549542
Richard Prince,2007,London,301971.72752264375,62909.954553346644,88074.67618716903,4.800062718509451
Rudolf Stingel,2007,London,895850.033726886,251642.284254999,377464.6594033046,3.560013915560733
Jack Goldstein,2007,London,0.0,75492.93188066094,100656.42049367711,0.0
Damien Hirst,2007,London,96630.60756142027,50328.21024683856,75492.93188066094,1.920008819472975
Donald Baechler,2007,London,96630.60756142027,62909.954553346644,88074.67618716903,1.5360145819866853
Mike Bidlo,2007,London,0.0,100656.42049367711,150985.86376132187,0.0
Qiu Shihua,2007,London,0.0,176149.35237433805,226478.7956419828,0.0
Ivan Chuikov,2007,London,78512.59983505512,37746.46594033047,50328.21024683856,2.079998692814519
Andy Warhol,2007,London,75492.93188066094,62909.954553346644,88074.67618716903,1.2000156796273627
Leonid Sokov,2007,London,90591.27165263188,100656.42049367711,150985.86376132187,0.9000048998297377
Luigi Ontani,2007,London,211379.22284920566,176149.35237433805,226478.7956419828,1.199999999931876
Mario Merz,2007,London,120787.95119657378,75492.93188066094,100656.42049367711,1.5999902000297883
Andy Warhol,2007,London,0.0,251642.284254999,377464.6594033046,0.0
Tom Wesselmann,2007,London,120787.95119657378,62909.954553346644,88074.67618716903,1.9200133275401967
Andy Warhol,2007,London,301971.72752264375,251642.284254999,377464.6594033046,1.200003919868427
Komar and Melamid,2007,London,60393.359087883786,50328.21024683856,75492.93188066094,1.1999901999232643
Andy Warhol,2007,London,603943.4550452875,503285.80153080414,754929.3188066093,1.2000009799527842
Ilya Kabakov,2007,London,1741371.8572069337,880751.693954915,1132395.2112307204,1.9771427851222523
Yayoi Kusama,2007,London,452957.5912839656,201314.07400816045,301971.72752264375,2.2500045935343027
James Rosenquist,2007,London,513352.1833926556,377464.6594033046,503285.80153080414,1.3600006532811886
Hermann Nitsch,2007,London,84551.9357438435,50328.21024683856,75492.93188066094,1.6800107794883217
Andy Warhol,2007,London,5968980.974607171,5032867.879474492,7549301.819211736,1.1859999343393381
Rashid Johnson,2015,London,189137.01539973926,97409.11706333302,129879.54184720927,1.941676724750007
Nate Lowman,2015,London,179395.78010016162,194819.3127708139,292228.429834147,0.9208316030864717
Kelley Walker,2015,London,393697.5634701309,243523.33198040648,405873.298611492,1.6166728676562314
Fredrik Værslev,2015,London,111209.29029141371,129879.54184720927,194819.3127708139,0.856249480874195
Danh Vo,2015,London,257323.5052084872,243523.33198040648,324698.85461802315,1.0566687926996021
Alex Israel,2015,London,822300.0515659214,649397.7092360463,974096.5638540696,1.2662503114164285
Tauba Auerbach,2015,London,1952252.0656366423,1623494.273090116,2435241.948957248,1.202500124566964
Ai Weiwei,2015,London,4679724.601716332,3246989.62482438,4870484.976558644,1.4412502478984768
Christopher Wool,2015,London,2315914.782808828,1948193.1277081391,2922290.7702063564,1.1887501038058739
Urs Fischer,2015,London,822300.0515659214,974096.5638540696,1298795.4184720926,0.844166874281952
Mark Bradford,2015,London,4134229.447313906,1623494.273090116,2435241.948957248,2.5465007889553304
Anish Kapoor,2015,London,734631.0911580182,730572.1532295152,1055271.0078475385,1.0055558344244369
Andy Warhol,2015,London,3770566.7301417203,2435241.948957248,4058737.300691512,1.5483335164051213
Allen Jones,2015,London,627480.7387951076,487047.74260496086,811746.597222984,1.288335175164064
Nate Lowman,2015,London,685925.9933042778,649397.7092360463,974096.5638540696,1.0562494809238563
Jean-Michel Basquiat,2015,London,393697.5634701309,243523.33198040648,405873.298611492,1.6166728676562314
Cecily Brown,2015,London,0.0,649397.7092360463,974096.5638540696,0.0
Albert Oehlen,2015,London,646962.130750115,649397.7092360463,974096.5638540696,0.9962494809247804
Anselm Kiefer,2015,London,1075564.6188459056,974096.5638540696,1298795.4184720926,1.1041663206154122
Antony Gormley,2015,London,0.0,405873.298611492,568223.2652425775,0.0
Julie Mehretu,2015,London,1465204.3230316814,1136446.530485155,1461145.3851031782,1.2892857549516956
Cy Twombly,2015,London,783336.1890117587,568223.2652425775,730572.1532295152,1.3785711302467747
Anish Kapoor,2015,London,588516.8762409447,487047.74260496086,811746.597222984,1.208335086579389
Banksy,2015,London,335251.23031681275,324698.85461802315,487047.74260496086,1.032498961848444
"Barry Flanagan, R.A.",2015,London,783336.1890117587,649397.7092360463,974096.5638540696,1.2062503114173526
Julian Schnabel,2015,London,198877.17205516907,194819.3127708139,292228.429834147,1.0208288347619856
Ai Weiwei,2015,London,296287.36776264996,162348.88798693765,243523.33198040648,1.8250039862806993
Mark Flood,2015,London,68997.63020795977,32469.346139728375,48704.01920959256,2.1250083044415407
Brent Wadden,2015,London,71027.63849428523,32469.346139728375,48704.01920959256,2.1875290671623033
Oscar Murillo,2015,London,335251.23031681275,194819.3127708139,292228.429834147,1.7208316030454083
Franz West,2015,New York,147774.24826067328,75505.09035216883,107864.41478881262,1.9571428568836502
Fredrik Værslev,2015,New York,74156.78516730867,107864.41478881262,161796.62218321892,0.6874999999362625
Wyatt Kahn,2015,New York,147774.24826067328,107864.41478881262,161796.62218321892,1.3699999998729886
Rudolf Stingel,2015,New York,0.0,431457.65915525047,647186.4887328757,0.0
Ed Ruscha,2015,New York,717298.3583456039,647186.4887328757,862915.3183105009,1.108333333316208
Martin Kippenberger,2015,New York,94381.36294021104,107864.41478881262,161796.62218321892,0.8749999999188796
